"filename", "language", "JSON with Comments", "JavaScript", "Markdown", "JSON", "SQL", "XML", "JavaScript JSX", "Prisma", "CSS", "HTML", "comment", "blank", "total"
"/Users/davidmejia/HenryEtapaPractica/Vianda-app/src/app/api/viandas/[viandaId]/route.js", "JavaScript", 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 3, 8, 49
"/Users/davidmejia/HenryEtapaPractica/Vianda-app/src/app/api/viandas/route.js", "JavaScript", 0, 211, 0, 0, 0, 0, 0, 0, 0, 0, 26, 16, 253
"/Users/davidmejia/HenryEtapaPractica/Vianda-app/src/app/catalog/checkout/page.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 3, 20
"/Users/davidmejia/HenryEtapaPractica/Vianda-app/src/app/catalog/layout.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 28, 0, 0, 0, 1, 5, 34
"/Users/davidmejia/HenryEtapaPractica/Vianda-app/src/app/catalog/login/page.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 5, 14
"/Users/davidmejia/HenryEtapaPractica/Vianda-app/src/app/catalog/mi-cuenta/page.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 1, 4, 27
"/Users/davidmejia/HenryEtapaPractica/Vianda-app/src/app/catalog/mi-cuenta/pedidos/page.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 26, 0, 0, 0, 1, 6, 33
"/Users/davidmejia/HenryEtapaPractica/Vianda-app/src/app/catalog/page.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 63, 0, 0, 0, 2, 9, 74
"/Users/davidmejia/HenryEtapaPractica/Vianda-app/src/app/catalog/registro/page.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 3, 13
"/Users/davidmejia/HenryEtapaPractica/Vianda-app/src/app/cocina/page.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 7, 19
"/Users/davidmejia/HenryEtapaPractica/Vianda-app/src/app/firebase.js", "JavaScript", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 5, 3, 20
"/Users/davidmejia/HenryEtapaPractica/Vianda-app/src/app/globals.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 16, 0, 8, 5, 29
"/Users/davidmejia/HenryEtapaPractica/Vianda-app/src/app/layout.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 48, 0, 0, 0, 2, 3, 53
"/Users/davidmejia/HenryEtapaPractica/Vianda-app/src/app/loading.js", "JavaScript", 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 21
"/Users/davidmejia/HenryEtapaPractica/Vianda-app/src/app/not-found.js", "JavaScript", 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 32
"/Users/davidmejia/HenryEtapaPractica/Vianda-app/src/app/page.js", "JavaScript", 0, 87, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8, 96
"/Users/davidmejia/HenryEtapaPractica/Vianda-app/src/app/repartidor/page.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 96, 0, 0, 0, 17, 13, 126
"/Users/davidmejia/HenryEtapaPractica/Vianda-app/src/app/role-redirect/page.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 60, 0, 0, 0, 0, 6, 66
"/Users/davidmejia/HenryEtapaPractica/Vianda-app/src/components/LandingComponents/CallToAction.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 31, 0, 0, 0, 0, 3, 34
"/Users/davidmejia/HenryEtapaPractica/Vianda-app/src/components/LandingComponents/HowWorks.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 75, 0, 0, 0, 1, 8, 84
"/Users/davidmejia/HenryEtapaPractica/Vianda-app/src/components/LandingComponents/InfoEmpresa.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 36, 0, 0, 0, 0, 4, 40
"/Users/davidmejia/HenryEtapaPractica/Vianda-app/src/components/LoginLogout/LoginLogout.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 42, 0, 0, 0, 0, 12, 54
"/Users/davidmejia/HenryEtapaPractica/Vianda-app/src/components/actions/EditCrud.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 2, 14
"/Users/davidmejia/HenryEtapaPractica/Vianda-app/src/components/actions/ToogleEstadoUsuario.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 40, 0, 0, 0, 0, 3, 43
"/Users/davidmejia/HenryEtapaPractica/Vianda-app/src/components/actions/ToogleEstadoVianda.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 40, 0, 0, 0, 0, 3, 43
"/Users/davidmejia/HenryEtapaPractica/Vianda-app/src/components/addToCart/AddToCart.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 50, 0, 0, 0, 0, 4, 54
"/Users/davidmejia/HenryEtapaPractica/Vianda-app/src/components/adminCocina/PedidosCocina.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 313, 0, 0, 0, 0, 36, 349
